Ad Set Name,Treatment,Location,Ad name,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Clicks (all),CTR (all) (click through rate),CPC (All) (cost per click),Reporting starts,Reporting ends,,,,
Lipoma-Coimbatore-Sep23,Lipoma,Coimbatore,Lipoma-Coimbatore-Video,Meta Leads,70,235498,482468,624.2068571,43694.48,2747,0.56936419,15.9062541,9/1/2023,9/30/2023,,,,
Lipoma-Chennai-Sep23,Lipoma,Chennai,Lipoma-Chennai-Video,Meta Leads,80,247162,446255,412.8035,33024.28,1760,0.39439334,18.76379545,9/1/2023,9/30/2023,,,,
Circumcision-Kochi-Sep23,Circumcision,Kochi,Circumcision-Kochi-Banana on surgeon's hand,Meta Leads,72,158168,323034,297.5108333,21420.78,2450,0.7584341,8.74317551,9/1/2023,9/30/2023,,,,
Lipoma-Trivandrum-Sep23,Lipoma,Trivandrum,Lipoma-Trivandrum-Video,Meta Leads,44,135510,278108,462.7893182,20362.73,1586,0.57028205,12.83904792,9/1/2023,9/30/2023,,,avg of cost per result,297.6987766
Lipoma-Vizag-Sep23,Lipoma,Vizag,Lipoma-Vizag-Video,Meta Leads,71,106238,193100,277.3084507,19688.9,1498,0.77576385,13.14345794,9/1/2023,9/30/2023,,,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia,Trivandrum,Gynecomastia-Trivandrum-Grade 1 to 4,Meta Leads,66,126013,204360,211.7027273,13972.38,1069,0.5230965,13.0705145,9/1/2023,9/30/2023,,,sum of cost per result,94072.81341
Circumcision-Chennai-Sep23,Circumcision,Chennai,Circumcision-Chennai-Pen,Meta Leads,15,44397,71171,856.496,12847.44,363,0.5100392,35.39239669,9/1/2023,9/30/2023,,,,
Circumcision-Chennai-Sep23,Circumcision,Chennai,Circumcision-Chennai-Video,Meta Leads,14,44661,70293,915.495,12816.93,468,0.66578464,27.38660256,9/1/2023,9/30/2023,,,avg of reach,12285.68354
Circumcision-Trivandrum-Sep23,Circumcision,Trivandrum,Circumcision-Trivandrum-Banana on surgeon's hand,Meta Leads,29,116602,202269,441.7606897,12811.06,1162,0.5744825,11.02500861,9/1/2023,9/30/2023,,,,
Lipoma-Hyderabad-Sep23,Lipoma,Hyderabad,Lipoma-Hyderabad-Video,Meta Leads,83,98459,148058,147.2255422,12219.72,1150,0.77672264,10.62584348,9/1/2023,9/30/2023,,,sum of reach,3882276
Lipoma-Bangalore-Sep23,Lipoma,Bangalore,Lipoma-Bangalore-Video,Meta Leads,55,91375,130470,200.3376364,11018.57,856,0.65608952,12.87216121,9/1/2023,9/30/2023,,,,
Lipoma-Kochi-Sep23,Lipoma,Kochi,Lipoma-Kochi-Video,Meta Leads,30,62730,109450,363.931,10917.93,811,0.74097762,13.4623058,9/1/2023,9/30/2023,,,,
Piles-Kochi-Sep23,Piles,Kochi,Piles-Kochi-plastic body & tissue paper,Meta Leads,22,117330,168140,476.695,10487.29,626,0.37230879,16.75285942,9/1/2023,9/30/2023,,,,
Gynecomastia-Kochi-Sep23,Gynecomastia,Kochi,Gynecomastia-Kochi-Grade 1 to 4,Meta Leads,52,101883,155819,198.1682692,10304.75,711,0.45629865,14.49331927,9/1/2023,9/30/2023,,,,
Gynecomastia-Hyderabad-Sep23,Gynecomastia,Hyderabad,Gynecomastia-Hyderabad-Man holding bag strap,Meta Leads,44,59259,85892,173.6270455,7639.59,743,0.86503982,10.28208614,9/1/2023,9/30/2023,,,,
Cataract-Chennai-Sep23,Cataract,Chennai,Cataract-Chennai-Video,Meta Leads,13,32093,45313,583.6146154,7586.99,324,0.71502659,23.4166358,9/1/2023,9/30/2023,,,,
Circumcision-Trivandrum,Circumcision,Trivandrum,Circumcision-Trivandrum-Rollon,Meta Leads,11,45030,76573,665.7554546,7323.31,599,0.78226007,12.22589316,9/1/2023,9/30/2023,,,,
Circumcision-Chennai,Circumcision,Chennai,Circumcision-Chennai-Video,Meta Leads,16,32035,48834,440.4125,7046.6,275,0.56313224,25.624,9/1/2023,9/30/2023,,,,
Piles-Chennai-Sep23,Piles,Chennai,Piles-Chennai-Video,Meta Leads,14,24691,44212,492.2442857,6891.42,504,1.139962,13.67345238,9/1/2023,9/30/2023,,,,
Gynecomastia-Trivandrum-Sep23,Gynecomastia,Trivandrum,Gynecomastia-Trivandrum-Video,Meta Leads,30,51007,82533,218.7853333,6563.56,541,0.65549538,12.13227357,9/1/2023,9/30/2023,,,,
Piles-Coimbatore-Sep23,Piles,Coimbatore,Piles-Coimbatore-Video,Meta Leads,8,20100,30527,744.51,5956.08,435,1.42496806,13.69213793,9/1/2023,9/30/2023,,,,
Circumcision-Coimbatore-Sep23,Circumcision,Coimbatore,Circumcision-Coimbatore-Video,Meta Leads,9,19464,31870,646.69,5820.21,326,1.02290555,17.85340491,9/1/2023,9/30/2023,,,,
Gynecomastia-Kochi-Sep23,Gynecomastia,Kochi,Gynecomastia-Kochi-Video,Meta Leads,20,41744,62164,276.7285,5534.57,323,0.51959333,17.13489164,9/1/2023,9/30/2023,,,,
Circumcision-Coimbatore,Circumcision,Coimbatore,Circumcision-Coimbatore-Video,Meta Leads,1,27411,39757,4892.6,4892.6,273,0.68667153,17.92161172,9/1/2023,9/30/2023,,,,
Circumcision-Vizag-Sep23,Circumcision,Vizag,Circumcision-Vizag-Banana on surgeon's hand,Meta Leads,5,39688,53584,975.782,4878.91,249,0.46469095,19.59401606,9/1/2023,9/30/2023,,,,
